INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAE0009', '001', 'Front fascia and header panel', 'installed', '8.53', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEESS0060', '002', 'Battery tray', 'ordered', '68.89', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAELASS0088', '002', 'Interior light and lamp', 'received', '43.86', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAES0096', '002', 'Crankshaft position sensor', 'received', '57.71', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-PACBS0180', '002', 'Brake servo', 'received', '44.88', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAED0023', '005', 'Door beam and panel', 'installed', '87.55', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEGAM0064', '005', 'Dynamometer', 'installed', '59.29', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAELASS0083', '005', 'Engine bay lighting', 'installed', '149.48', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAES0094', '005', 'Anti-pinch sensor', 'installed', '26.01', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAES0103', '001', 'Power-steering pressure sensor', 'installed', '59.99', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-PACBS0175', '001', 'Brake pedal', 'installed', '61.25', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-PACBS0197', '003', 'Metering valve', 'installed', '43.93', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEM0132', '001', 'Air bag control module', 'installed', '46.19', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-PACBS0183', '001', 'Shoe web', 'installed', '91.00', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-PACBS0184', '001', 'Brake warning light', 'installed', '75.04', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-PACBS0168', '001', 'Brake backing plate', 'installed', '52.89', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEGAM0073', '001', 'Voltmeter', 'received', '37.07', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-ICS0155', '001', 'Bucket Seat', 'ordered', '3.39', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEM0132', '002', 'Air bag control module', 'installed', '53.30', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAESS0115', '002', 'Starter', 'installed', '24.06', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-PACBS0186', '002', 'Caliper', 'installed', '15.23', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAE0002', '001', 'Unexposed bumper', 'installed', '96.92', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAELASS0091', '001', 'Tail light', 'installed', '102.93', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-ICS0160', '001', 'Seat bracket', 'installed', '45.79', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAE0019', '002', 'Trim package', 'received', '23.70', '3');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEAD0041', '002', 'Antenna assembly', 'received', '44.95', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEM0133', '002', 'Alarm and siren', 'installed', '37.11', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAES0114', '002', 'ABS sensor', 'ordered', '12.54', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAE0013', '001', 'Radiator core support', 'installed', '124.65', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-PACBS0166', '001', 'Anchor', 'installed', '39.08', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAE0001', '001', 'Bumper', 'ordered', '1.15', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAE0013', '001', 'Radiator core support', 'ordered', '38.45', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEESS0059', '003', 'Battery plate', 'installed', '54.12', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEM0138', '003', 'Engine computer and management system', 'installed', '48.48', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAE0006', '005', 'Fascia rear and support', 'installed', '23.82', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAE0011', '005', 'Pillar and hard trim', 'ordered', '3.95', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEM0136', '005', 'Cruise control computer', 'received', '38.96', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEWH0128', '005', 'Air conditioning harness', 'ordered', '34.45', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEM0140', '005', 'Fuse', 'installed', '15.68', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEWH0128', '005', 'Air conditioning harness', 'installed', '17.68', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEM0137', '002', 'Door contact', 'received', '22.80', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAES0102', '002', 'Oxygen sensor', 'received', '52.39', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-ICS0153', '002', 'Armrest', 'received', '66.22', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAES0113', '001', 'Oil level sensor', 'installed', '15.31', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-PACBS0182', '001', 'Brake lining', 'installed', '20.11', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAEW0035', '003', 'Sunroof motor', 'ordered', '0.49', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEWH0131', '003', 'Underfloor harness', 'ordered', '33.43', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-ICS0157', '003', 'Fastener', 'installed', '35.82', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-PACBS0183', '003', 'Shoe web', 'installed', '11.04', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-PACBS0178', '001', 'Brake roll', 'installed', '115.82', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAE0000', '001', 'Bonnet/hood', 'installed', '39.40', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAECS0049', '001', 'Alternator bearing', 'installed', '47.59', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEM0143', '001', 'Performance Monitor', 'installed', '31.82', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-PACBS0184', '001', 'Brake warning light', 'installed', '50.69', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAE0011', '003', 'Pillar and hard trim', 'installed', '45.68', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAES0102', '003', 'Oxygen sensor', 'installed', '22.47', '3');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAES0104', '003', 'Pressure sensor', 'installed', '25.85', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-PACBS0166', '003', 'Anchor', 'installed', '69.36', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAE0008', '002', 'Front clip', 'installed', '14.55', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAES0096', '002', 'Crankshaft position sensor', 'installed', '29.28', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-PACBS0196', '002', 'Master Cylinder', 'installed', '36.72', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAESS0117', '003', 'Starter Motor', 'received', '27.03', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAESS0119', '003', 'Spark Plug', 'ordered', '33.00', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-PACBS0197', '003', 'Metering valve', 'received', '83.72', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAE0014', '002', 'Rocker panel', 'installed', '82.14', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAES0096', '002', 'Crankshaft position sensor', 'installed', '11.38', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAECS0051', '001', 'Alternator fan', 'installed', '91.60', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-IFCAP0152', '001', 'Center console', 'ordered', '120.75', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-PACBS0189', '001', 'Hold-down springs', 'received', '2.75', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-PACBS0190', '001', 'Hose', 'installed', '142.64', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAELASS0087', '001', 'Headlight motor', 'received', '14.14', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAE0001', '002', 'Bumper', 'received', '20.32', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAEW0040', '002', 'Window seal', 'received', '0.95', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEESS0056', '002', 'Battery cable terminal', 'ordered', '3.63', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-PACBS0172', '002', 'Brake drum', 'installed', '13.82', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-BAE0005', '002', 'Decklid', 'received', '50.91', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAELASS0088', '002', 'Interior light and lamp', 'ordered', '2.49', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEM0132', '002', 'Air bag control module', 'ordered', '20.43', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-PACBS0187', '002', 'Combination valve', 'installed', '33.39', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-BAE0022', '002', 'Welded assembly', 'installed', '27.67', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEESS0054', '002', 'Performance battery', 'installed', '11.02', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-PACBS0174', '002', 'Brake pad', 'installed', '34.08', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEAD0045', '004', 'Speaker', 'installed', '37.35', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAELASS0092', '004', 'Tail light cover', 'installed', '20.94', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAES0100', '004', 'Light sensor', 'installed', '27.61', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-PACBS0196', '004', 'Master Cylinder', 'installed', '37.83', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEM0135', '003', 'Chassis control computer', 'received', '42.41', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAES0108', '003', 'Transmission input and output sensor', 'installed', '56.24', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-PACBS0190', '003', 'Hose', 'installed', '90.38', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEGAM0065', '002', 'Fuel gauge', 'installed', '42.11', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEGAM0072', '002', 'Vacuum gauge', 'installed', '64.56', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-PACBS0165', '002', 'Adjusting mechanism', 'installed', '43.97', '5');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-BAE0012', '003', 'Quarter panel', 'ordered', '22.31', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-BAED0030', '003', 'Door and bonnet', 'ordered', '12.72', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEIS0077', '003', 'Electronic timing controller', 'ordered', '55.25', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEM0132', '001', 'Air bag control module', 'installed', '43.57', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEM0142', '001', 'Performance chip', 'installed', '9.60', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-PACBS0195', '002', 'Load-sensing valve', 'installed', '100.25', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-BAED0030', '002', 'Door and bonnet', 'installed', '27.66', '3');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-BAED0031', '002', 'Lock', 'installed', '23.89', '5');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAELASS0089', '002', 'License plate lamp', 'installed', '65.87', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEM0140', '002', 'Fuse', 'installed', '74.06', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-BAE0001', '004', 'Bumper', 'received', '15.74', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-BAED0025', '004', 'Inner door handle', 'ordered', '31.95', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEESS0055', '004', 'Battery box', 'received', '20.24', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEESS0061', '004', 'Voltage regulator', 'ordered', '17.72', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-BAE0007', '002', 'Fender Musical Instruments Corporation', 'installed', '35.97', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEAD0044', '002', 'Other devices', 'received', '44.46', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-ICS0156', '002', 'Children and baby car seat', 'installed', '15.41', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-ICS0159', '002', 'Seat Belt', 'installed', '38.43', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-BAE0000', '002', 'Bonnet/hood', 'installed', '4.94', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAELASS0088', '002', 'Interior light and lamp', 'installed', '48.67', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAES0122', '002', 'Power window switch', 'installed', '27.21', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-PACBS0172', '001', 'Brake drum', 'ordered', '24.25', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-PACBS0181', '001', 'Brake shoe', 'ordered', '57.35', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEIS0079', '001', 'Ignition Coil', 'installed', '94.91', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-BAE0006', '004', 'Fascia rear and support', 'received', '48.59', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEM0136', '004', 'Cruise control computer', 'ordered', '57.96', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-PACBS0183', '004', 'Shoe web', 'received', '35.43', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEIS0078', '004', 'Ignition box', 'installed', '79.19', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAES0124', '004', 'Switch cover', 'installed', '6.90', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-ICS0162', '004', 'Seat track', 'installed', '76.92', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-PACBS0177', '004', 'Brake pump', 'installed', '63.55', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEM0145', '001', 'Remote lock', 'installed', '91.58', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-PACBS0193', '001', 'Brake duct hose', 'installed', '91.24', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEESS0054', '002', 'Performance battery', 'installed', '53.08', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-PACBS0190', '002', 'Hose', 'installed', '8.71', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-BAEW0040', '001', 'Window seal', 'installed', '8.06', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEM0146', '001', 'Shift improver', 'installed', '67.23', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-PACBS0194', '001', 'Hydraulic booster unit', 'installed', '58.70', '5');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-BAE0003', '002', 'Exposed bumper', 'received', '72.93', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-BAE0012', '002', 'Quarter panel', 'ordered', '22.68', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEGAM0068', '002', 'Speedometer', 'ordered', '21.18', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAES0110', '001', 'TDC sensor', 'received', '75.71', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAELASS0087', '001', 'Headlight motor', 'installed', '53.52', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAES0098', '001', 'Fuel level sensor', 'installed', '67.67', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEAD0041', '002', 'Antenna assembly', 'installed', '0.90', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEGAM0069', '002', 'Tachometer', 'installed', '37.13', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAES0121', '002', 'Ignition Switch', 'installed', '17.50', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEESS0060', '003', 'Battery tray', 'installed', '41.47', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEIS0081', '003', 'Ignition controller', 'installed', '1.25', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEM0150', '003', 'Wiring connector', 'installed', '3.64', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-PACBS0179', '003', 'Brake rotor', 'installed', '28.27', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAES0124', '002', 'Switch cover', 'ordered', '27.82', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAESS0119', '002', 'Spark Plug', 'ordered', '38.15', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-PACBS0198', '002', 'Other braking system parts', 'ordered', '41.54', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAELASS0088', '001', 'Interior light and lamp', 'installed', '15.51', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEM0147', '001', 'Speed controller', 'installed', '17.71', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAES0100', '001', 'Light sensor', 'installed', '25.23', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-PACBS0198', '001', 'Other braking system parts', 'installed', '18.94', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEGAM0066', '001', 'Hydrometer', 'installed', '52.41', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAES0106', '001', 'Rotational sensor', 'installed', '55.07', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEWH0131', '001', 'Underfloor harness', 'installed', '7.45', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-PACBS0198', '001', 'Other braking system parts', 'installed', '0.21', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-PACBS0168', '004', 'Brake backing plate', 'installed', '24.49', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAES0122', '001', 'Power window switch', 'installed', '31.37', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-IFCAP0151', '001', 'Carpet and other floor material', 'installed', '25.04', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEGAM0068', '002', 'Speedometer', 'installed', '76.99', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEM0132', '002', 'Air bag control module', 'installed', '11.27', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEM0147', '002', 'Speed controller', 'installed', '10.95', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-PACBS0192', '002', 'Air brake nylon hose', 'installed', '40.81', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-BAED0030', '002', 'Door and bonnet', 'installed', '33.29', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAECS0051', '002', 'Alternator fan', 'installed', '31.65', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEESS0058', '002', 'Battery control system', 'installed', '26.57', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAES0109', '002', 'ABS brack sensor', 'installed', '27.25', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAELASS0087', '001', 'Headlight motor', 'installed', '8.53', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAEM0136', '001', 'Cruise control computer', 'installed', '25.89', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAES0100', '001', 'Light sensor', 'installed', '25.87', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DN-EAES0124', '001', 'Switch cover', 'installed', '37.07', '1');
